ImageId,EncodedPixels
9ab2d381f90b485a68b82bc07f94397a0373e3215ad20935a958738e55f3cfc2,247833 10 248338 20 248848 25 249357 30 249867 35 250378 38 250888 43 251399 47 251910 49 252421 51 252932 52 253443 54 253954 56 254466 57 254978 58 255490 59 256002 59 256514 60 257026 61 257538 61 258050 61 258562 62 259074 62 259586 62 260098 62 260610 63 261122 63 261634 63 262146 63 262658 63 263170 63 263682 63 264194 63 264706 64 265218 64 265730 64 266242 64 266754 63 267266 64 267778 64 268290 63 268802 63 269314 63 269826 63 270338 63 270850 62 271362 62 271874 62 272386 61 272898 61 273410 60 273921 61 274433 60 274946 59 275458 58 275970 57 276482 57 276994 56 277506 55 278018 54 278530 54 279043 52 279555 51 280068 49 280582 47 281095 45 281607 44 282120 41 282633 38 283146 35 283658 33 284171 30 284684 28 285197 26 285710 23 286224 19 286739 11 287255 3
9ab2d381f90b485a68b82bc07f94397a0373e3215ad20935a958738e55f3cfc2,298512 3 299024 3 299537 2
9ab2d381f90b485a68b82bc07f94397a0373e3215ad20935a958738e55f3cfc2,140370 4 140389 1 140879 10 140897 8 141388 15 141408 10 141897 19 141921 10 142409 20 142433 11 142920 21 142945 12 143431 23 143456 13 143943 23 143968 14 144455 23 144481 13 144967 22 144994 14 145479 22 145507 14 145990 23 146019 15 146502 23 146532 15 147014 22 147045 17 147521 4 147526 21 147558 22 148031 6 148039 20 148071 22 148542 8 148551 20 148585 21 149053 9 149064 19 149099 19 149564 10 149578 19 149612 19 150075 11 150092 18 150125 18 150584 14 150611 15 150637 18 151093 18 151123 16 151148 20 151604 19 151635 17 151657 23 152115 21 152146 46 152627 21 152658 47 153139 21 153170 47 153651 22 153680 49 154163 79 154678 76 155194 73 155707 73 156220 73 156733 73 157245 74 157756 76 158267 77 158778 79 159290 79 159800 81 160311 83 160821 85 161332 86 161843 88 162355 88 162868 87 163380 87 163893 86 164405 86 164918 85 165430 85 165942 85 166454 85 166965 86 167476 87 167987 88 168499 88 169010 89 169522 89 170034 89 170546 89 171058 89 171570 89 172082 89 172595 88 173107 88 173619 88 174131 88 174643 88 175155 88 175667 88 176180 87 176692 87 177204 87 177716 86 178228 86 178740 85 179253 84 179765 84 180277 84 180789 84 181301 14 181319 66 181813 13 181833 63 182325 13 182347 60 182837 13 182860 58 183349 14 183373 56 183861 14 183886 54 184373 15 184399 51 184885 15 184911 49 185398 15 185424 46 185911 14 185936 45 186423 14 186447 45 186936 14 186959 45 187449 16 187467 48 187961 66 188474 65 188987 64 189500 62 190014 60 190527 59 191042 55 191556 52 192070 49 192583 47 193097 42 193611 38 194125 5 194132 27 194647 15 195163 3
9ab2d381f90b485a68b82bc07f94397a0373e3215ad20935a958738e55f3cfc2,256732 7 257242 11 257751 16 258259 21 258765 28 259273 34 259783 37 260293 40 260804 42 261313 46 261824 48 262334 50 262844 53 263355 55 263866 57 264378 58 264889 60 265401 62 265912 64 266423 67 266935 68 267446 69 267958 70 268469 71 268981 72 269492 73 270004 73 270515 74 271027 75 271538 76 272050 76 272561 77 273073 78 273584 79 274096 79 274607 81 275119 82 275631 82 276142 83 276654 84 277166 84 277678 84 278190 84 278702 84 279214 85 279726 85 280238 85 280750 85 281262 85 281774 85 282285 86 282797 87 283308 88 283820 89 284332 90 284843 91 285355 92 285867 92 286380 91 286892 91 287405 90 287917 90 288430 89 288942 88 289455 87 289968 86 290480 86 290993 85 291505 85 292017 86 292529 86 293041 86 293553 86 294065 86 294577 86 295089 86 295601 86 296113 86 296625 86 297137 85 297649 85 298161 84 298674 83 299186 82 299698 81 300210 81 300722 80 301234 78 301746 77 302259 74 302771 72 303284 69 303796 68 304309 66 304823 63 305336 61 305849 58 306362 55 306875 52 307387 51 307900 49 308412 48 308924 47 309436 46 309948 43 310460 41 310973 38 311486 29 311999 25 312513 19 313026 16 313540 11
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,187405 2 187915 8 188426 9 188938 10 189450 11 189961 13 190473 13 190984 15 191496 15 192007 16 192519 17 193031 18 193544 18 194056 18 194568 19 194597 2 195080 19 195107 5 195595 17 195618 8 196109 16 196130 9 196621 16 196641 11 197135 15 197153 11 197647 30 197687 1 198160 30 198199 3 198673 31 198710 5 199186 32 199222 7 199699 42 200212 42 200724 42 201238 42 201751 42 202265 40 202756 1 202778 39 203267 6 203292 38 203778 8 203806 36 204290 8 204320 34 204802 9 204833 33 205313 11 205347 31 205825 12 205862 28 206337 14 206376 26 206849 17 206891 23 207361 20 207405 21 207873 21 207919 20 208385 22 208432 19 208897 22 208945 20 209409 23 209457 22 209921 24 209969 24 210433 24 210480 26 210945 24 210989 30 211457 25 211499 33 211969 26 212010 36 212481 27 212521 38 212993 28 213033 39 213505 28 213545 40 214017 29 214057 41 214529 29 214569 42 215041 30 215082 42 215553 31 215594 42 216065 32 216106 43 216577 32 216619 42 217089 34 217131 43 217601 37 217642 44 218113 85 218625 85 219137 85 219649 85 220161 85 220673 84 221185 83 221697 81 222209 48 222259 30 222721 16 222738 29 222773 23 223233 15 223251 27 223286 18 223745 16 223763 27 223798 15 224257 45 224308 12 224769 45 224818 10 225281 46 225328 12 225793 55 225849 4 226306 52 226361 5 226818 49 226873 7 227330 46 227385 8 227843 46 227896 10 228359 44 228405 16 228885 50 229397 52 229909 53 230421 54 230933 54 231444 56 231956 56 232468 56 232979 57 233491 57 234002 58 234514 58 235026 57 235538 57 236050 57 236563 55 237075 55 237589 51 238102 48 238615 46 239134 34 239659 12
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,201918 11 202427 15 202934 20 203442 25 203952 28 204461 31 204972 33 205483 34 205993 36 206503 39 207012 43 207522 45 208033 47 208545 48 209056 49 209568 50 210080 51 210592 51 211104 52 211616 53 212129 54 212641 56 213153 58 213665 60 214177 61 214689 63 215200 65 215712 66 216223 68 216735 68 217247 69 217759 69 218271 70 218783 70 219296 69 219809 68 220321 68 220834 66 221346 65 221858 64 222370 64 222881 63 223389 63 223901 60 224419 52 224903 13 224947 34 225414 12 225461 2 225465 27 225924 10 225985 18 226435 11 226497 18 226948 12 226965 12 226989 5 227008 19 227460 31 227499 8 227519 20 227972 32 228010 10 228030 21 228483 50 228541 22 228995 51 229053 21 229507 53 229563 24 230020 80 230532 80 231045 80 231559 79 232072 79 232585 79 233098 80 233611 81 234125 82 234638 82 235150 83 235663 83 236175 83 236688 83 237201 82 237714 80 238227 79 238739 78 239252 75 239765 68 240278 59 240790 53 241303 50 241814 45 242325 27 242356 7 242836 27 243345 28 243856 28 244367 29 244877 31 244919 2 245389 31 245428 5 245901 45 246414 46 246926 46 247439 34 247952 31 248463 32 248974 33 249484 35 249994 38 250504 41 251014 44 251526 1 251539 32 251611 2 252053 32 252123 6 252570 29 252601 10 252635 7 253087 37 253147 9 253446 6 253602 35 253659 11 253957 12 254085 2 254119 32 254167 16 254467 19 254520 11 254595 8 254634 30 254675 20 254978 23 255031 16 255107 13 255148 28 255186 21 255490 26 255543 19 255620 17 255662 29 255694 26 256001 30 256054 22 256132 18 256175 57 256513 32 256566 23 256644 20 256688 56 257025 35 257078 24 257157 21 257201 55 257537 37 257590 25 257670 22 257714 54 258049 40 258102 26 258182 26 258227 52 258561 41 258613 29 258694 29 258741 49 259073 43 259125 30 259207 29 259254 47 259585 44 259637 32 259719 31 259770 41 260097 44 260148 35 260231 33 260286 35 260609 46 260660 37 260742 35 260807 25 261121 48 261171 41 261252 38 261324 18 261633 94 261762 41 261837 16 262145 95 262274 42 262350 15 262657 98 262786 44 262863 13 263169 103 263298 46 263375 13 263681 108 263810 50 263886 14 264193 111 264322 52 264389 6 264397 14 264705 113 264835 53 264900 23 265217 116 265347 56 265409 26 265729 118 265859 88 266241 122 266371 87 266753 215 267265 214 267777 166 267949 40 268290 163 268464 36 268802 61 268870 96 268979 30 269314 60 269384 96 269506 8 269828 58 269898 66 269975 19 270342 55 270412 62 270492 15 270856 53 270925 60 271006 13 271371 50 271439 58 271521 10 271886 47 271953 56 272037 6 272400 44 272469 51 272551 2 272914 42 272983 49 273427 40 273498 46 273940 39 274012 44 274454 36 274527 40 274969 32 275044 35 275483 29 275560 30 276004 18 276077 24 276520 10 276592 20 277107 15
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,94249 4 94760 5 95271 6 95781 8 96292 9 96803 10 97315 9 97826 9 98338 9 98849 9 99360 10 99871 10 100381 11 100891 13 101399 16 101909 18 102420 18 102916 6 102929 20 103426 33 103938 31 104450 30 104962 28 105474 27 105986 25 106498 24 107011 19 107525 4
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,91662 4 92172 4 92681 7 93193 6 93704 6 94215 6 94727 5 95238 6 95750 5 96261 5 96773 4 97285 3
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,133801 3 134312 5 134779 12 134824 6 135287 17 135336 7 135796 22 135847 10 136306 25 136359 11 136816 27 136871 12 137327 29 137381 15 137837 31 137892 17 138347 33 138404 17 138856 36 138915 19 139364 39 139427 19 139875 40 139938 20 140385 41 140450 20 140896 41 140961 21 141406 43 141472 22 141917 43 141983 23 142428 43 142493 25 142939 43 143003 27 143451 42 143514 29 143962 42 144025 29 144474 41 144535 31 144986 40 145046 32 145498 39 145556 34 146010 38 146067 35 146522 38 146578 36 147035 36 147089 36 147547 35 147600 37 148060 34 148111 38 148572 33 148622 40 149085 31 149133 41 149598 30 149642 43 150112 27 150151 46 150626 25 150660 42 150706 3 151139 24 151168 41 151220 2 151653 66 151732 3 152170 59 152244 4 152686 54 152756 5 153200 50 153268 5 153712 48 153779 7 154225 46 154291 8 154737 45 154803 8 155249 44 155315 9 155762 42 155827 9 156275 40 156339 9 156787 39 156851 10 157300 37 157363 10 157814 32 157876 8 158329 28 158388 8 158852 15 158900 8 159366 10 159412 8 159878 9 159924 8 160390 8 160436 8 160901 7 160947 8 161413 7 161459 9 161924 6 161971 9 162435 6 162482 10 162946 7 162994 10 163457 7 163506 10 163968 7 164018 10 164480 6 164507 2 164529 11 164992 4 165016 17 165040 12 165503 4 165527 20 165551 12 166015 4 166035 40 166527 3 166544 43 167038 4 167055 44 167550 4 167567 44 168061 5 168078 45 168572 7 168589 45 169083 8 169100 44 169595 8 169612 43 170107 6 170123 44 170619 3 170634 43 171131 1 171145 44 171657 44 172168 44 172679 45 173189 47 173237 1 173701 50 174204 3 174209 54 174716 60 175241 47 175759 42 176271 41 176783 40 177294 40 177806 38 178317 33 178828 31 179339 29 179849 28 180360 27 180872 26 181383 25 181895 23 182408 18 182920 15 183435 4
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,284275 2 284786 4 285298 5 285811 5 286323 7 286837 2
